sample_id,category,source_split,selected_ai_stage,ai_final_compiled,reference_pages,ai_pages,page_count_match,pandoc_compile,tylax_compile,typetex_compile,source_comparison_pdf,source_pdf_page,report_page
05_tables_simple_024,05_tables_simple,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,68,82
05_tables_simple_025,05_tables_simple,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,69,83
05_tables_simple_027,05_tables_simple,heldout,v2,True,3,2,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,70,84
05_tables_simple_028,05_tables_simple,heldout,v2,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,71,85
06_tables_moderate_002,06_tables_moderate,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,73,87
06_tables_moderate_007,06_tables_moderate,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,74,88
06_tables_moderate_008,06_tables_moderate,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,75,89
06_tables_moderate_010,06_tables_moderate,prompt_dev,v1_targeted_retry,True,2,3,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,22,90
06_tables_moderate_012,06_tables_moderate,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,76,91
06_tables_moderate_013,06_tables_moderate,heldout,v1,True,2,3,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,77,92
06_tables_moderate_014,06_tables_moderate,heldout,v2,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,78,93
06_tables_moderate_015,06_tables_moderate,heldout,v1,True,3,3,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,79,94
06_tables_moderate_017,06_tables_moderate,heldout,v2,True,3,2,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,80,95
06_tables_moderate_018,06_tables_moderate,prompt_dev,v0,True,3,3,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,24,96
06_tables_moderate_019,06_tables_moderate,heldout,v2,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,81,97
06_tables_moderate_029,06_tables_moderate,heldout,v3,True,2,2,True,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,82,98
06_tables_moderate_030,06_tables_moderate,heldout,,False,3,,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,83,99
06_tables_moderate_031,06_tables_moderate,heldout,v2,True,2,3,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,84,100
06_tables_moderate_032,06_tables_moderate,prompt_dev,v0,True,3,3,,ok,ok,ok,results/ai_latex_to_typst/documents/prompt_clean_v0_v1_v3_engine_comparison_grid.pdf,23,101
06_tables_moderate_033,06_tables_moderate,heldout,v3,True,3,1,False,ok,ok,ok,results/ai_latex_to_typst/documents/heldout_v1_v2_v3_cascade_engine_comparison_grid.pdf,85,102
